coin_name,symbol,download_csv_url,is_important,Batch_day
compound-dai,CDAI,https://www.coingecko.com/en/coins/compound-dai,FALSE,2
qtum,QTUM,https://www.coingecko.com/en/coins/qtum,FALSE,1
celo,CELO,https://www.coingecko.com/en/coins/celo,FALSE,2
btse-token,BTSE,https://www.coingecko.com/en/coins/btse-token,FALSE,2
ethereum-name-service,ENS,https://www.coingecko.com/en/coins/ethereum-name-service,FALSE,2
theta-fuel,TFUEL,https://www.coingecko.com/en/coins/theta-fuel,FALSE,1
chia,XCH,https://www.coingecko.com/en/coins/chia,FALSE,2
audius,AUDIO,https://www.coingecko.com/en/coins/audius,FALSE,2
ravencoin,RVN,https://www.coingecko.com/en/coins/ravencoin,FALSE,1
defichain,DFI,https://www.coingecko.com/en/coins/defichain,FALSE,2
compound,COMP,https://www.coingecko.com/en/coins/compound,FALSE,2
ronin,RON,https://www.coingecko.com/en/coins/ronin,FALSE,1
sxp,SXP,https://www.coingecko.com/en/coins/sxp,FALSE,1
aleph-zero,AZERO,https://www.coingecko.com/en/coins/aleph-zero,FALSE,2
blur,BLUR,https://www.coingecko.com/en/coins/blur,FALSE,2
terra,LUNA,https://www.coingecko.com/en/coins/terra,FALSE,1
stepn,GMT,https://www.coingecko.com/en/coins/stepn,FALSE,1
0x,ZRX,https://www.coingecko.com/en/coins/0x,FALSE,1
ssv-network,SSV,https://www.coingecko.com/en/coins/ssv-network,FALSE,1
sushi,SUSHI,https://www.coingecko.com/en/coins/sushi,FALSE,1
siacoin,SC,https://www.coingecko.com/en/coins/siacoin,FALSE,1
